iter	Passed	Remaining
0	27	27443
1	51	25906
2	76	25464
3	102	25467
4	128	25628
5	155	25735
6	182	25949
7	212	26313
8	239	26391
9	265	26287
10	291	26198
11	317	26112
12	342	26026
13	368	25929
14	393	25851
15	419	25793
16	445	25761
17	471	25723
18	496	25657
19	498	24432
20	524	24458
21	549	24440
22	574	24410
23	599	24395
24	625	24381
25	650	24356
26	675	24347
27	700	24325
28	726	24309
29	751	24287
30	776	24276
31	801	24257
32	828	24283
33	856	24332
34	882	24336
35	908	24316
36	935	24344
37	963	24382
38	989	24382
39	1014	24340
40	1039	24311
41	1064	24286
42	1092	24304
43	1118	24297
44	1143	24278
45	1169	24250
46	1194	24214
47	1219	24190
48	1244	24156
49	1269	24124
50	1294	24089
51	1319	24060
52	1344	24022
53	1369	23992
54	1393	23948
55	1418	23913
56	1443	23876
57	1468	23855
58	1494	23839
59	1520	23813
60	1546	23802
61	1573	23798
62	1598	23769
63	1623	23741
64	1648	23718
65	1675	23714
66	1702	23712
67	1728	23685
68	1752	23652
69	1778	23631
70	1803	23599
71	1815	23399
72	1840	23372
73	1866	23352
74	1891	23330
75	1919	23338
76	1947	23347
77	1973	23326
78	1998	23300
79	2023	23268
80	2048	23245
81	2073	23218
82	2099	23194
83	2125	23178
84	2150	23153
85	2176	23128
86	2200	23091
87	2225	23061
88	2250	23031
89	2275	23008
90	2300	22976
91	2325	22954
92	2351	22931
93	2375	22899
94	2400	22866
95	2424	22831
96	2449	22799
97	2473	22765
98	2499	22744
99	2525	22725
100	2550	22706
101	2575	22677
102	2600	22645
103	2626	22625
104	2652	22606
105	2676	22574
106	2700	22541
107	2725	22506
108	2748	22468
109	2772	22430
110	2795	22390
111	2819	22357
112	2845	22333
113	2871	22314
114	2896	22293
115	2922	22273
116	2948	22250
117	2974	22230
118	2998	22202
119	3024	22176
120	3050	22158
121	3074	22127
122	3099	22099
123	3124	22069
124	3149	22043
125	3175	22025
126	3201	22009
127	3228	21990
128	3253	21967
129	3279	21945
130	3304	21918
131	3330	21900
132	3357	21884
133	3382	21859
134	3408	21838
135	3432	21806
136	3457	21779
137	3482	21751
138	3505	21716
139	3529	21680
140	3553	21647
141	3577	21616
142	3602	21592
143	3628	21569
144	3653	21544
145	3678	21516
146	3704	21493
147	3729	21470
148	3755	21448
149	3781	21430
150	3807	21410
151	3834	21390
152	3860	21373
153	3887	21357
154	3917	21357
155	3945	21347
156	3971	21325
157	3998	21307
158	4024	21285
159	4051	21268
160	4077	21250
161	4104	21232
162	4132	21218
163	4162	21217
164	4189	21203
165	4219	21196
166	4246	21181
167	4275	21172
168	4302	21154
169	4328	21130
170	4354	21108
171	4385	21111
172	4410	21084
173	4436	21060
174	4462	21036
175	4486	21004
176	4512	20981
177	4537	20952
178	4562	20928
179	4588	20904
180	4614	20877
181	4639	20852
182	4666	20833
183	4694	20819
184	4720	20797
185	4746	20771
186	4771	20743
187	4798	20723
188	4825	20705
189	4850	20679
190	4876	20656
191	4901	20628
192	4926	20600
193	4951	20569
194	4976	20545
195	5001	20518
196	5027	20493
197	5053	20467
198	5077	20437
199	5102	20411
200	5128	20384
201	5153	20358
202	5178	20330
203	5203	20304
204	5228	20274
205	5252	20246
206	5264	20168
207	5288	20138
208	5313	20108
209	5337	20078
210	5361	20048
211	5385	20017
212	5408	19984
213	5433	19956
214	5457	19926
215	5481	19894
216	5504	19862
217	5528	19833
218	5554	19807
219	5579	19781
220	5605	19759
221	5632	19737
222	5657	19711
223	5682	19687
224	5708	19663
225	5734	19639
226	5760	19615
227	5785	19589
228	5810	19562
229	5835	19535
230	5860	19509
231	5885	19483
232	5898	19415
233	5923	19391
234	5948	19363
235	5972	19336
236	5997	19308
237	6022	19281
238	6046	19252
239	6070	19224
240	6097	19202
241	6122	19177
242	6147	19151
243	6171	19123
244	6196	19094
245	6220	19065
246	6243	19035
247	6267	19005
248	6291	18976
249	6316	18950
250	6342	18925
251	6367	18899
252	6392	18875
253	6417	18849
254	6443	18826
255	6469	18802
256	6495	18780
257	6521	18757
258	6550	18739
259	6579	18725
260	6605	18703
261	6631	18680
262	6657	18655
263	6683	18633
264	6711	18615
265	6738	18595
266	6764	18570
267	6790	18545
268	6815	18519
269	6840	18494
270	6865	18468
271	6891	18444
272	6916	18419
273	6942	18394
274	6967	18369
275	6992	18341
276	7015	18312
277	7040	18284
278	7064	18257
279	7088	18228
280	7113	18200
281	7138	18174
282	7162	18147
283	7187	18119
284	7211	18091
285	7235	18062
286	7261	18039
287	7286	18014
288	7310	17985
289	7333	17955
290	7358	17929
291	7385	17906
292	7412	17885
293	7438	17861
294	7463	17837
295	7489	17813
296	7515	17788
297	7540	17763
298	7566	17739
299	7592	17714
300	7617	17690
301	7642	17664
302	7668	17639
303	7694	17616
304	7720	17591
305	7745	17566
306	7770	17540
307	7795	17514
308	7821	17489
309	7846	17464
310	7871	17438
311	7883	17384
312	7909	17360
313	7934	17333
314	7959	17308
315	7983	17281
316	8007	17253
317	8032	17225
318	8056	17197
319	8079	17168
320	8102	17138
321	8126	17111
322	8151	17086
323	8177	17061
324	8204	17039
325	8231	17018
326	8256	16993
327	8282	16968
328	8307	16942
329	8332	16917
330	8357	16891
331	8382	16866
332	8409	16843
333	8434	16818
334	8459	16793
335	8472	16743
336	8496	16716
337	8521	16690
338	8547	16666
339	8573	16642
340	8599	16619
341	8601	16549
342	8627	16524
343	8653	16501
344	8678	16476
345	8703	16451
346	8730	16428
347	8757	16406
348	8782	16382
349	8807	16357
350	8833	16333
351	8859	16308
352	8884	16284
353	8909	16258
354	8934	16233
355	8960	16209
356	8985	16184
357	9010	16159
358	9035	16133
359	9060	16108
360	9086	16083
361	9111	16059
362	9137	16034
363	9162	16009
364	9187	15983
365	9212	15958
366	9239	15935
367	9264	15911
368	9290	15887
369	9317	15864
370	9343	15841
371	9369	15817
372	9395	15793
373	9398	15731
374	9423	15706
375	9451	15684
376	9476	15660
377	9502	15635
378	9526	15609
379	9551	15584
380	9576	15558
381	9600	15532
382	9624	15505
383	9649	15479
384	9674	15453
385	9699	15428
386	9724	15403
387	9748	15376
388	9773	15351
389	9798	15326
390	9823	15300
391	9848	15275
392	9851	15216
393	9877	15191
394	9901	15165
395	9925	15139
396	9937	15094
397	9960	15066
398	9984	15039
399	10007	15011
400	10032	14986
401	10057	14961
402	10082	14936
403	10094	14892
404	10120	14868
405	10145	14843
406	10171	14820
407	10198	14797
408	10222	14772
409	10248	14747
410	10273	14722
411	10298	14697
