      0      1      2      3      4      5      6      7      8      9      10     11
0  0.530  0.322  0.456  0.441 -0.144  0.421  0.044 -0.075 -0.070  0.032  0.026 -0.019
1 -0.025  0.415  0.086 -0.342  0.623  0.157  0.269  0.100  0.121  0.187  0.244 -0.315
2 -0.029 -0.279 -0.030  0.171 -0.265 -0.008  0.468  0.308  0.203  0.629  0.257  0.061
3  0.008 -0.073 -0.048  0.065 -0.076  0.021  0.232  0.462 -0.332 -0.109 -0.518 -0.570
4  0.066  0.118  0.041 -0.002  0.168  0.071 -0.453  0.503  0.429  0.227 -0.421  0.276
5 -0.006 -0.130  0.027  0.089 -0.106  0.006  0.097 -0.349  0.760 -0.150 -0.194 -0.442
6 -0.035  0.164 -0.037 -0.167  0.018  0.018  0.306 -0.480 -0.137  0.400 -0.612  0.255
7  0.016 -0.186 -0.008  0.160  0.325  0.137  0.534  0.159  0.141 -0.508 -0.109  0.464
8 -0.125 -0.598  0.184  0.285  0.514  0.231 -0.232 -0.196 -0.172  0.234 -0.044 -0.126
9 -0.106 -0.016 -0.538 -0.125 -0.171  0.803 -0.077 -0.019  0.006 -0.020  0.047 -0.005
